Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
1130-2-7,Type-1,Yes,Yes,Yes,Yes,
1130-3-8,Type-1,Yes,Yes,Yes,Yes,
1136-1-2,Type-1,Yes,Yes,Yes,Yes,
1136-1-3,Type-1,Yes,Yes,Yes,Yes,
1136-2-3,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1145-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1148-2-3,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1154-1-2,Type-1,Yes,Yes,No,Yes,GPT didn't extract the whole clones
1159-1-2,Type-1,Yes,Yes,Yes,Yes,
1160-3-5,Type-1,compilation error,compilation error,No,No,
1161-2-7,Type-1,Yes,Yes,Yes,Yes,
1161-4-8,Type-1,Yes,Yes,Yes,Yes,
1178-1-2,Type-1,Yes,Yes,Yes,Yes,
1178-1-3,Type-1,Yes,Yes,Yes,Yes,
1183-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1229-1-3,Type-1,Yes,Yes,Yes,Yes,GPT refactor the whole method
1229-2-4,Type-1,Yes,Yes,Yes,Yes,GPT refactor the whole method
1258-2-4,Type-1,Yes,Yes,Yes,Yes,
1280-1-2,Type-1,Yes,Yes,Yes,No,GPT refactor more lines than the clones
1323-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1351-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1360-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1373-3-5,Type-1,Yes,Yes,Yes,Yes,gpt refactor the whole method
1378-1-2,Type-1,Yes,Yes,Yes,No,GPT refactor more lines than the clones
1389-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1400-1-2,Type-1,Yes,Yes,Yes,Yes,
1400-1-3,Type-1,Yes,Yes,Yes,Yes,
1400-1-4,Type-1,Yes,Yes,Yes,Yes,
1400-1-5,Type-1,Yes,Yes,Yes,Yes,
1400-1-6,Type-1,Yes,Yes,Yes,Yes,
1400-1-7,Type-1,Yes,Yes,Yes,Yes,
1400-2-3,Type-1,Yes,Yes,Yes,Yes,
1400-2-4,Type-1,Yes,Yes,Yes,Yes,
1400-2-5,Type-1,Yes,Yes,Yes,Yes,
1400-2-6,Type-1,Yes,Yes,Yes,Yes,
1400-2-7,Type-1,Yes,Yes,Yes,Yes,
1400-3-5,Type-1,Yes,Yes,Yes,Yes,
1400-3-6,Type-1,Yes,Yes,Yes,Yes,
1400-3-7,Type-1,Yes,Yes,Yes,Yes,
1400-4-5,Type-1,Yes,Yes,Yes,Yes,
1400-4-6,Type-1,Yes,Yes,Yes,Yes,
1400-4-7,Type-1,Yes,Yes,Yes,Yes,
1400-5-7,Type-1,Yes,Yes,Yes,Yes,
1400-6-7,Type-1,Yes,Yes,Yes,Yes,
1401-1-2,Type-1,Yes,Yes,Yes,Yes,
1414-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor the whole method
1414-1-3,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1414-2-3,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1428-1-3,Type-1,Yes,Yes,Yes,Yes,
1428-2-4,Type-1,Yes,Yes,Yes,Yes,
1442-1-2,Type-1,Yes,Yes,Yes,No,GPT refactor the whole method
1460-1-3,Type-1,Yes,Yes,Yes,Yes,
1460-2-3,Type-1,Yes,Yes,Yes,Yes,
1460-3-4,Type-1,Yes,Yes,Yes,Yes,
1460-3-5 ,Type-1,Yes,Yes,Yes,Yes,
1460-3-6,Type-1,Yes,Yes,Yes,Yes,
1460-3-7,Type-1,Yes,Yes,Yes,Yes,
1460-3-8,Type-1,Yes,Yes,Yes,Yes,
1466-1-3,Type-1,Yes,Yes,Yes,Yes,
1466-2-4,Type-1,Yes,Yes,Yes,Yes,
1467-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1467-4-9,Type-1,Yes,Yes,Yes,Yes,
1467-4-11,Type-1,Yes,Yes,Yes,Yes,
1467-5-7,Type-1,Yes,Yes,Yes,Yes,
1467-5-8,Type-1,Yes,Yes,Yes,Yes,
1467-5-10,Type-1,Yes,Yes,Yes,Yes,
1467-6-9,Type-1,Yes,Yes,Yes,Yes,
1467-6-11,Type-1,Yes,Yes,Yes,Yes,
1490-1-2,Type-1,Yes,Yes,Yes,Yes,
1490-3-4,Type-1,Yes,Yes,Yes,Yes,
1492-3-5,Type-1,Yes,Yes,Yes,No,GPT refactor more lines than the clones
1492-3-6,Type-1,Yes,Yes,Yes,No,GPT refactor more lines than the clones
1492-5-6,Type-1,Yes,Yes,Yes,No,GPT refactor more lines than the clones
1515-2-3,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1516-1-2,Type-1,Yes,Yes,Yes,Yes,
1538-3-4,Type-1,Yes,Yes,Yes,Yes,
1548-1-3,Type-1,Yes,Yes,Yes,Yes,
1549-1-2,Type-1,Yes,Yes,Yes,Yes,
1549-1-3,Type-1,Yes,Yes,Yes,Yes,
1549-2-3,Type-1,Yes,Yes,Yes,Yes,
1550-1-3,Type-1,Yes,Yes,Yes,Yes,
1550-1-5,Type-1,Yes,Yes,Yes,Yes,
1550-2-4,Type-1,Yes,Yes,Yes,Yes,
1550-2-6,Type-1,Yes,Yes,Yes,Yes,
1550-3-5,Type-1,Yes,Yes,Yes,Yes,
1550-4-6,Type-1,Yes,Yes,Yes,Yes,
1558-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1558-1-3,Type-1,Yes,Yes,Yes,Yes,
1558-2-3,Type-1,Yes,Yes,Yes,Yes,
1582-1-3,Type-1,Yes,Yes,Yes,Yes,
1611-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1638-2-7,Type-1,compilation error,compilation error,No,Yes,
