Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
661-1-4,Type-3,Yes,Yes,Yes,No,gpt refactor more lines than clone
676-1-2,Type-2,compilation error,compilation error,No,No,
678-2-3,Type-2,Yes,Yes,Yes,Yes,
678-2-4,Type-2,Yes,Yes,Yes,Yes,
683-1-2,Type-2,Yes,Yes,Yes,No,
700-1-2,Type-2,gpt didn't generate method call,gpt didn't generate method call,gpt didn't generate method call,No,
700-1-3,Type-1,Yes,tests fail,No,No,
700-1-4,Type-1,Yes,Yes,Yes,No,gpt refactor more lines than clone
700-2-3,Type-2,compilation error,compilation error,No,No,
700-2-4,Type-2,compilation error,compilation error,No,No,
745-2-3,Type-2,Yes,Yes,Yes,Yes,
745-2-4,Type-2,Yes,Yes,Yes,Yes,
754-1-2,Type-3,Yes,Yes,No,Yes,gpt didn't refactor the whole clone
755-2-3,Type-2,Yes,Yes,Yes,Yes,
755-2-4,Type-2,Yes,Yes,Yes,Yes,
765-1-2,Type-2,Yes,Yes,Yes,No,
796-1-2,Type-2,Yes,Yes,Yes,Yes,
895-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than clone
945-1-2,Type-1,compilation error,compilation error,No,No,
955-1-2,Type-2,compilation error,compilation error,No,No,
963-1-2,Type-2,Yes,Yes,Yes,No,
963-2-3,Type-1,gpt didn't refactor the clone,gpt didn't refactor the clone,No,No,
969-2-3,Type-3,compilation error,compilation error,No,No,
969-2-4,Type-3,compilation error,compilation error,No,No,
969-3-4,Type-3,Yes,Yes,Yes,Yes,gpt refactor more lines than clone
971-1-2,Type-3,Yes,Yes,Yes,Yes,gpt refactor more lines than clone
974-1-2,Type-2,Yes,Yes,Yes,Yes,
974-2-3,Type-2,Yes,Yes,Yes,Yes,
980-1-2,Type-2,compilation error,compilation error,No,Yes,
995-1-2,Type-3,Yes,Yes,Yes,Yes,
1013-1-2,Type-3,compilation error,compilation error,No,No,
1013-1-3,Type-3,compilation error,compilation error,No,No,
1013-1-4,Type-3,compilation error,compilation error,No,No,
1013-2-3,Type-3,compilation error,compilation error,No,No,
1013-2-4,Type-3,compilation error,compilation error,No,No,
1021-1-2,Type-3,compilation error,compilation error,No,No,
1022-1-2,Type-2,compilation error,compilation error,No,No,
1022-1-3,Type-2,gpt didn't refactor the clone,gpt didn't refactor the clone,No,No,
1022-3-4,Type-2,Yes,Yes,Yes,No,
1023-1-4,Type-2,Yes,Yes,Yes,Yes,
1023-2-3,Type-2,Yes,Yes,Yes,Yes,
1028-1-2,Type-2,Yes,Yes,Yes,No,
1029-1-2,Type-3,compilation error,compilation error,No,No,
1029-1-3,Type-2,Yes,Yes,Yes,No,
1029-2-3,Type-2,Yes,Yes,Yes,No,
1035-1-2,Type-2,Yes,Yes,Yes,Yes,
1038-1-2,Type-3,Yes,Yes,Yes,Yes,
1039-1-4,Type-3,compilation error,compilation error,No,Yes,
1039-1-5,Type-3,compilation error,compilation error,No,No,
1039-1-6,Type-3,compilation error,compilation error,No,Yes,
1039-1-7,Type-3,compilation error,compilation error,No,No,
1039-1-8,Type-3,compilation error,compilation error,No,Yes,
1039-2-4,Type-2,Yes,Yes,No,Yes,gpt didn't refactor the whole clone
1039-2-5,Type-3,compilation error,compilation error,No,Yes,
1039-2-6,Type-3,compilation error,compilation error,No,No,
1039-2-8,Type-3,compilation error,compilation error,No,No,
1039-3-5,Type-3,compilation error,compilation error,No,No,
1039-3-6,Type-3,compilation error,compilation error,No,Yes,
1039-3-7,Type-3,compilation error,compilation error,No,No,
1039-4-5,Type-3,Yes,Yes,No,No,gpt didn't refactor the whole clone
1039-4-6,Type-3,compilation error,compilation error,No,Yes,
1039-4-7,Type-2,Yes,Yes,Yes,Yes,
1039-4-8,Type-3,Yes,Yes,Yes,Yes,
1061-1-2,Type-2,Yes,Yes,Yes,Yes,
1062-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than clone
1066-1-2,Type-2,compilation error,compilation error,No,No,
1089-1-2,Type-2,Yes,Yes,Yes,Yes,gpt refactor the whole method
1092-1-2,Type-1,compilation error,compilation error,No,No,
1092-1-3,Type-3,Yes,tests fail,No,No,
1092-1-4,Type-2,compilation error,compilation error,No,No,
1092-2-3,Type-3,Yes,tests fail,No,No,
1092-2-4,Type-3,Yes,tests fail,No,No,
1092-3-4,Type-2,Yes,Yes,Yes,No,
1117-1-2,Type-2,Yes,Yes,Yes,No,
1117-3-4,Type-2,Yes,Yes,No,No,gpt didn't refactor the whole clone
1130-1-4,Type-3,Yes,Yes,Yes,Yes,
1130-1-5,Type-3,Yes,Yes,Yes,No,
1130-1-6,Type-2,compilation error,compilation error,No,Yes,
1130-1-7,Type-3,compilation error,compilation error,No,No,
1130-1-8,Type-3,wrong method found,wrong method found,wrong method found,Yes,
1130-2-4,Type-2,Yes,Yes,Yes,Yes,
1130-2-5,Type-3,wrong method found,wrong method found,wrong method found,Yes,
1130-3-4,Type-3,Yes,Yes,Yes,Yes,
1130-3-5,Type-3,Yes,Yes,Yes,No,
1130-3-6,Type-3,compilation error,compilation error,No,Yes,
1130-3-7,Type-3,compilation error,compilation error,No,No,
1130-4-5,Type-3,Yes,Yes,Yes,No,
1130-4-6,Type-3,compilation error,compilation error,No,Yes,
1130-4-7,Type-2,compilation error,compilation error,No,Yes,
1130-4-8,Type-3,compilation error,compilation error,No,Yes,
1144-1-2,Type-3,Yes,Yes,Yes,Yes,
1147-1-2,Type-3,compilation error,compilation error,No,No,
1148-1-2,Type-3,compilation error,compilation error,No,No,
1148-1-3,Type-3,compilation error,compilation error,No,No,
1150-1-2,Type-2,compilation error,compilation error,No,Yes,
1155-1-2,Type-2,compilation error,compilation error,No,No,
1160-2-3,Type-3,compilation error,compilation error,No,No,
1160-2-4,Type-3,compilation error,compilation error,No,No,
1160-2-5,Type-3,compilation error,compilation error,No,No,
1160-4-5,Type-2,compilation error,compilation error,No,No,
1161-2-4,Type-2,Yes,Yes,Yes,Yes,
1161-2-8,Type-2,Yes,Yes,Yes,Yes,
1161-4-7,Type-2,Yes,Yes,Yes,Yes,
1161-7-8,Type-2,Yes,Yes,Yes,Yes,
1170-2-3,Type-2,compilation error,compilation error,No,No,
1176-1-3,Type-3,compilation error,compilation error,No,No,
1176-1-4,Type-3,compilation error,compilation error,No,No,
1176-1-5,Type-3,compilation error,compilation error,No,No,
1176-1-6,Type-3,compilation error,compilation error,No,No,
1176-1-7,Type-3,compilation error,compilation error,No,No,
1176-1-8,Type-3,compilation error,compilation error,No,No,
1176-3-4,Type-2,Yes,Yes,No,No,gpt didn't refactor the whole clone
1176-3-5,Type-3,compilation error,compilation error,No,No,
1176-3-6,Type-3,compilation error,compilation error,No,No,
1176-3-7,Type-3,compilation error,compilation error,No,No,
1176-3-8,Type-3,compilation error,compilation error,No,No,
1176-4-5,Type-3,compilation error,compilation error,No,No,
1176-4-6,Type-3,Yes,Yes,Yes,No,
1176-4-7,Type-3,compilation error,compilation error,No,No,
1176-4-8,Type-3,compilation error,compilation error,No,No,
1180-1-4,Type-3,compilation error,compilation error,No,No,
1180-1-5,Type-3,compilation error,compilation error,No,No,
1180-1-6,Type-3,compilation error,compilation error,No,No,
1180-4-6,Type-2,compilation error,compilation error,No,No,
1180-5-6,Type-3,compilation error,compilation error,No,No,
1191-1-2,Type-3,Yes,Yes,Yes,Yes,
1199-1-2,Type-3,compilation error,compilation error,No,No,
1202-1-2,Type-2,compilation error,compilation error,No,No,
1205-1-2,Type-1,compilation error,compilation error,No,No,
1216-1-2,Type-2,Yes,Yes,Yes,No,
1218-3-4,Type-2,compilation error,compilation error,No,No,
1229-1-2,Type-2,Yes,Yes,Yes,Yes,
1229-1-4,Type-2,Yes,Yes,Yes,Yes,
1229-2-3,Type-2,Yes,Yes,Yes,Yes,
1229-3-4,Type-2,Yes,Yes,Yes,Yes,
1233-1-2,Type-2,compilation error,compilation error,No,No,
1233-1-3,Type-3,compilation error,compilation error,No,No,
1233-1-4,Type-3,compilation error,compilation error,No,No,
1233-2-3,Type-3,compilation error,compilation error,No,Yes,
1233-2-4,Type-3,compilation error,compilation error,No,Yes,
1237-1-2,Type-2,Yes,Yes,Yes,No,
1258-1-2,Type-3,compilation error,compilation error,No,Yes,
1258-1-3,Type-2,Yes,Yes,Yes,Yes,
1258-1-4,Type-2,Yes,Yes,Yes,Yes,
1258-2-3,Type-2,Yes,Yes,Yes,Yes,
1258-3-4,Type-2,Yes,Yes,Yes,Yes,
