Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
915-1-2,Type-2,compilation error,compilation error,No,Yes,
925-1-2,Type-3,Yes,tests fail,No,Yes,
926-1-2,Type-3,Yes,Yes,Yes,No,
926-3-4,Type-3,Yes,Yes,Yes,No,
932-1-2,Type-2,Yes,Yes,Yes,No,
934-1-2,Type-3,Yes,Yes,Yes,Yes,
934-1-3,Type-3,Yes,Yes,Yes,Yes,
934-1-4,Type-2,Yes,Yes,Yes,Yes,
934-2-3,Type-2,compilation error,compilation error,No,Yes,
934-2-4,Type-3,Yes,Yes,Yes,Yes,
934-3-4,Type-3,compilation error,compilation error,No,Yes,
943-1-2,Type-2,Yes,Yes,Yes,Yes,
947-1-2,Type-3,Yes,Yes,Yes,Yes,
947-1-3,Type-2,Yes,Yes,Yes,Yes,
947-1-4,Type-3,Yes,Yes,Yes,Yes,
947-2-3,Type-2,Yes,Yes,Yes,Yes,
947-2-4,Type-2,Yes,Yes,Yes,Yes,
947-3-4,Type-3,Yes,Yes,Yes,Yes,
952-1-2,Type-2,Yes,Yes,Yes,No,
953-1-2,Type-3,Yes,tests fail,No,Yes,
961-1-2,Type-3,Yes,Yes,Yes,Yes,gpt refactor the whole method
961-1-3,Type-3,compilation error,compilation error,No,No,
961-2-3,Type-3,compilation error,compilation error,No,No,
965-2-3,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than the clones
966-1-2,Type-3,compilation error,compilation error,No,No,
973-1-2,Type-3,Yes,Yes,Yes,No,
1009-1-2,Type-2,Yes,Yes,Yes,Yes,
1010-1-2,Type-2,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
1010-3-4,Type-2,Yes,Yes,Yes,No,
1010-5-6,Type-2,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
1012-1-2,Type-2,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
1023-1-2,Type-2,Yes,Yes,Yes,Yes,
1023-3-4,Type-2,Yes,Yes,Yes,Yes,
1035-2-3,Type-2,Yes,Yes,Yes,Yes,
1036-1-2,Type-2,Yes,Yes,Yes,Yes,
1037-1-2,Type-2,Yes,Yes,Yes,Yes,
1039-1-2,Type-3,compilation error,compilation error,No,No,
1039-1-3,Type-3,Yes,Yes,Yes,Yes,
1039-2-3,Type-3,Yes,Yes,Yes,No,
1039-5-6,Type-3,Yes,Yes,Yes,No,
1039-5-7,Type-2,Yes,Yes,Yes,Yes,
1039-5-8,Type-3,compilation error,compilation error,No,No,
1039-6-7,Type-3,compilation error,compilation error,No,No,
1039-6-8,Type-3,Yes,Yes,Yes,Yes,
1039-7-8,Type-3,compilation error,compilation error,No,No,
1040-1-2,Type-3,Yes,Yes,Yes,Yes,
1042-1-2,Type-3,compilation error,compilation error,No,No,
1043-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than the clones
1051-1-2,Type-3,Yes,Yes,Yes,Yes,
1052-1-2,Type-3,compilation error,compilation error,No,No,
1055-1-2,Type-3,Yes,Yes,Yes,Yes,
1057-1-2,Type-2,Yes,Yes,Yes,Yes,
1057-1-3,Type-2,Yes,Yes,No,Yes,"GPT extract one clone to a method, then extracted another clone to another method, which cause the clones are still there"
1057-1-4,Type-2,Yes,Yes,Yes,Yes,
1057-1-5,Type-2,Yes,Yes,Yes,Yes,
1057-1-6,Type-3,Yes,Yes,Yes,Yes,
1057-1-7,Type-3,Yes,Yes,Yes,Yes,
1057-1-8,Type-3,Yes,Yes,Yes,Yes,
1057-1-9,Type-3,Yes,Yes,Yes,Yes,
1057-1-10,Type-2,Yes,Yes,Yes,Yes,
1057-1-11,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-1-12,Type-3,Yes,Yes,Yes,Yes,
1057-2-3,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-2-4,Type-2,Yes,Yes,Yes,Yes,
1057-2-5,Type-3,Yes,Yes,Yes,Yes,
1057-2-6,Type-3,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-2-7,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-2-8,Type-3,Yes,Yes,Yes,Yes,
1057-2-9,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-2-10,Type-3,Yes,Yes,Yes,Yes,
1057-2-11,Type-2,Yes,Yes,Yes,Yes,
1057-2-12,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-3-4,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-3-5,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-3-6,Type-3,Yes,Yes,Yes,Yes,
1057-3-7,Type-3,Yes,Yes,Yes,Yes,
1057-3-8,Type-3,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-3-9,Type-3,Yes,Yes,Yes,Yes,
1057-3-10,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-3-11,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-3-12,Type-3,Yes,Yes,Yes,Yes,
1057-4-5,Type-3,did not generate method calls,did not generate method calls,did not genearte method calls,Yes,
1057-4-6,Type-3,Yes,Yes,Yes,Yes,
1057-4-7,Type-2,compilation error,compilation error,No,Yes,
1057-4-8,Type-3,Yes,Yes,Yes,Yes,
1057-4-9,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-4-10,Type-3,Yes,Yes,Yes,Yes,
1057-4-11,Type-3,did not generate method calls,did not generate method calls,did not genearte method calls,Yes,
1057-4-12,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-5-6,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-5-7,Type-3,compilation error,compilation error,No,Yes,
1057-5-8,Type-2,Yes,Yes,Yes,Yes,
1057-5-9,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-5-10,Type-3,Yes,Yes,Yes,Yes,
1057-5-11,Type-3,Yes,Yes,No,Yes,"GPT did not find common logic, still have clones in the extaction"
1057-5-12,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-6-7,Type-3,Yes,Yes,Yes,Yes,
1057-6-8,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-6-9,Type-2,Yes,Yes,Yes,Yes,
1057-6-10,Type-3,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-6-11,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-6-12,Type-3,Yes,Yes,Yes,Yes,
1057-7-8,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-7-9,Type-3,Yes,Yes,Yes,Yes,
1057-7-10,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-7-11,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-7-12,Type-3,Yes,Yes,Yes,Yes,
1057-8-9,Type-2,Yes,Yes,Yes,Yes,
1057-8-10,Type-3,Yes,Yes,Yes,Yes,
1057-8-11,Type-3,Yes,Yes,Yes,Yes,
1057-8-12,Type-3,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1057-9-10,Type-3,Yes,Yes,Yes,Yes,
1057-9-11,Type-3,compilation error,compilation error,No,Yes,
1057-9-12,Type-3,Yes,Yes,Yes,Yes,
1057-10-11,Type-2,Yes,Yes,No,Yes,"GPT did not find common logic, still have clones in the extaction"
1057-10-12,Type-2,Yes,Yes,Yes,Yes,
1057-11-12,Type-2,Yes,Yes,No,Yes,gpt did not refactor the whole clones
1067-1-2,Type-2,compilation error,compilation error,No,Yes,
1069-1-2,Type-2,compilation error,compilation error,No,No,
1091-1-2,Type-3,Yes,Yes,Yes,Yes,
1091-2-3,Type-3,Yes,Yes,Yes,Yes,
1100-1-2,Type-3,Yes,Yes,Yes,No,
1100-1-3,Type-3,compilation error,compilation error,No,No,
1100-1-4,Type-3,compilation error,compilation error,No,No,
1100-2-3,Type-3,compilation error,compilation error,No,No,
1100-2-4,Type-3,compilation error,compilation error,No,No,
1100-3-4,Type-3,Yes,tests fail,No,No,
1108-1-2,Type-2,Yes,Yes,No,Yes,"GPT did not find common logic, still have clones in the extaction"
1114-1-2,Type-3,Yes,Yes,No,Yes,"GPT did not find common logic, still have clones in the extaction"
1115-1-2,Type-3,Yes,Yes,Yes,Yes,
1119-1-2,Type-2,Yes,Yes,Yes,Yes,
1119-1-3,Type-2,Yes,Yes,Yes,Yes,
1119-1-4,Type-2,Yes,Yes,Yes,Yes,
1119-2-3,Type-2,Yes,Yes,Yes,Yes,
1119-2-4,Type-2,Yes,Yes,Yes,Yes,
1119-3-4,Type-2,Yes,Yes,Yes,Yes,
1119-5-6,Type-2,Yes,Yes,Yes,Yes,
1119-5-7,Type-2,Yes,Yes,Yes,Yes,
1119-5-8,Type-2,Yes,Yes,Yes,Yes,
1119-6-7,Type-2,Yes,Yes,Yes,Yes,
1119-6-8,Type-2,Yes,Yes,Yes,Yes,
1119-7-8,Type-2,Yes,Yes,Yes,Yes,
1121-1-2,Type-3,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
1131-1-2,Type-3,Yes,Yes,No,Yes,"GPT did not find common logic, still have clones in the extaction"
1142-1-2,Type-3,Yes,Yes,Yes,Yes,
1143-1-2,Type-2,Yes,Yes,Yes,Yes,
