Pair ID(Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
342-3-4,Type-3,Yes,Yes,Yes,No,
342-3-5,Type-3,Yes,Yes,Yes,No,
342-3-6,Type-3,Yes,test fails,No,No,
342-3-7,Type-3,Yes,Yes,Yes,No,
342-3-8,Type-3,Yes,Yes,Yes,No,
342-3-9,Type-3,compilation error,compilation error,No,No,
342-3-10,Type-3,Yes,test fails,No,No,
342-3-12,Type-3,Yes,Yes,Yes,No,
342-3-13,Type-3,Yes,Yes,Yes,No,
342-3-14,Type-3,Yes,Yes,Yes,No,
342-4-10,Type-3,Yes,test fails,No,No,
342-4-12,Type-3,no method call,no method call,no method call,No,
342-5-10,Type-3,Yes,test fails,No,No,
342-5-12,Type-3,Yes,Yes,Yes,No,
342-6-10,Type-3,Yes,test fails,No,No,
342-6-12,Type-3,Yes,test fails,No,No,
342-7-10,Type-3,no method call,no method call,no method call,No,
342-7-11,Type-3,Yes,Yes,Yes,No,
342-8-10,Type-3,Yes,test fails,No,No,
342-8-11,Type-3,Yes,test fails,No,No,
342-9-10,Type-3,no method call,no method call,no method call,No,
342-9-11,Type-3,Yes,Yes,Yes,No,
342-9-13,Type-3,compilation error,compilation error,No,No,
342-10-11,Type-3,Yes,test fails,No,No,
342-10-13,Type-3,Yes,Yes,Yes,No,
342-10-14,Type-3,Yes,Yes,Yes,No,
342-11-12,Type-3,Yes,Yes,Yes,No,
342-11-13,Type-3,Yes,test fails,No,No,
342-11-14,Type-3,Yes,Yes,Yes,No,
342-12-13,Type-2,compilation error,compilation error,No,No,
349-1-2,Type-3,compilation error,compilation error,No,No,
349-1-3,Type-3,compilation error,compilation error,No,No,
356-1-2,Type-3,Yes,test fails,No,No,
371-1-2,Type-3,Yes,test fails,No,No,
371-2-4,Type-3,Yes,test fails,No,No,
372-1-4,Type-3,Yes,test fails,No,No,
372-2-4,Type-3,Yes,test fails,No,No,
372-2-5,Type-3,no method call,no method call,no method call,No,
402-1-2,Type-3,Yes,test fails,No,No,
402-1-6,Type-3,Yes,test fails,No,No,
402-2-3,Type-3,Yes,test fails,No,No,
402-2-4,Type-3,Yes,test fails,No,No,
402-2-5,Type-3,Yes,test fails,No,No,
402-3-5,Type-4,no method call,no method call,no method call,No,
402-3-6,Type-3,Yes,test fails,No,No,
402-4-5,Type-3,compilation error,compilation error,No,No,
402-4-6,Type-3,Yes,Yes,Yes,No,
426-1-2,Type-3,Yes,no test file,no test file,No,
453-1-2,Type-3,compilation error,compilation error,No,No,
453-1-3,Type-3,Yes,test fails,No,No,
453-1-4,Type-3,Yes,test fails,No,No,
453-1-5,Type-3,Yes,test fails,No,No,
453-1-6,Type-3,Yes,test fails,No,No,
453-1-7,Type-3,Yes,Yes,Yes,No,
453-2-4,Type-3,Yes,test fails,No,No,
453-3-4,Type-3,compilation error,compilation error,No,No,
453-4-5,Type-3,compilation error,compilation error,No,No,
