Pair ID(Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
829-1-2,Type-2,Yes,Yes,Yes,No,
837-1-2,Type-2,Yes,test fails,No,No,
858-1-3,Type-3,Yes,Yes,Yes,No,
858-1-4,Type-3,Yes,Yes,Yes,No,
858-1-5,Type-3,Yes,Yes,Yes,No,
858-1-6,Type-3,Yes,Yes,Yes,No,
858-2-3,Type-2,Yes,Yes,Yes,No,
858-2-4,Type-3,Yes,Yes,Yes,No,
858-2-5,Type-3,Yes,Yes,Yes,No,
858-2-6,Type-3,Yes,Yes,Yes,No,
858-3-5,Type-2,Yes,Yes,Yes,No,
858-3-6,Type-2,Yes,Yes,Yes,No,
858-4-5,Type-2,Yes,Yes,Yes,No,
858-4-6,Type-2,Yes,Yes,Yes,No,
878-1-2,Type-2,Yes,Yes,Yes,Yes,
878-1-3,Type-2,Yes,Yes,Yes,Yes,
891-1-3,Type-2,compilation error,compilation error,No,No,
891-1-4,Type-3,compilation error,compilation error,No,No,
891-2-3,Type-1,wrong method extracted,wrong method extracted,wrong method extracted,No,
891-2-4,Type-3,compilation error,compilation error,No,No,
892-1-2,Type-2,compilation error,compilation error,No,Yes,
892-1-3,Type-2,Yes,Yes,Yes,Yes,
900-1-4,Type-1,Yes,Yes,Yes,Yes,
900-2-3,Type-1,Yes,Yes,Yes,Yes,
907-1-3,Type-2,Yes,Yes,Yes,Yes,
907-2-3,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
917-1-2,Type-2,compilation error,compilation error,No,No,
948-1-2,Type-2,Yes,Yes,Yes,Yes,
948-1-3,Type-2,Yes,Yes,Yes,Yes,
948-2-3,Type-2,Yes,Yes,Yes,Yes,
951-1-3,Type-3,Yes,Yes,Yes,Yes,
951-2-3,Type-3,Yes,Yes,Yes,Yes,
960-1-2,Type-2,compilation error,compilation error,No,Yes,
960-1-3,Type-2,compilation error,compilation error,No,Yes,
960-1-4,Type-2,compilation error,compilation error,No,Yes,
960-1-5,Type-2,compilation error,compilation error,No,Yes,
960-1-6,Type-2,compilation error,compilation error,No,Yes,
960-1-7,Type-2,compilation error,compilation error,No,Yes,
960-2-3,Type-2,compilation error,compilation error,No,Yes,
960-2-4,Type-2,compilation error,compilation error,No,Yes,
960-2-5,Type-2,compilation error,compilation error,No,Yes,
960-2-6,Type-2,compilation error,compilation error,No,Yes,
960-2-7,Type-2,compilation error,compilation error,No,Yes,
960-3-4,Type-2,compilation error,compilation error,No,Yes,
960-3-5,Type-2,compilation error,compilation error,No,Yes,
960-3-6,Type-2,compilation error,compilation error,No,Yes,
960-3-7,Type-2,compilation error,compilation error,No,Yes,
960-4-5,Type-2,compilation error,compilation error,No,Yes,
960-4-6,Type-2,compilation error,compilation error,No,Yes,
960-4-7,Type-2,compilation error,compilation error,No,Yes,
960-5-6,Type-3,compilation error,compilation error,No,Yes,
960-5-7,Type-2,compilation error,compilation error,No,Yes,
960-6-7,Type-2,compilation error,compilation error,No,Yes,
981-1-3,Type-2,gpt didn't generate method calls,gpt didn't generate method calls,gpt didn't generate method calls,Yes,
981-1-5,Type-3,Yes,Yes,Yes,Yes,
981-2-4,Type-2,Yes,Yes,Yes,Yes,
981-3-4,Type-2,compilation error,compilation error,No,Yes,
1008-1-2,Type-2,compilation error,compilation error,No,Yes,
1008-1-3,Type-2,compilation error,compilation error,No,Yes,
1008-1-4,Type-2,compilation error,compilation error,No,Yes,
1008-1-5,Type-2,compilation error,compilation error,No,Yes,
1008-1-6,Type-2,compilation error,compilation error,No,Yes,
1008-2-3,Type-2,compilation error,compilation error,No,Yes,
1008-2-4,Type-2,compilation error,compilation error,No,Yes,
1008-2-5,Type-2,compilation error,compilation error,No,Yes,
1008-2-6,Type-2,compilation error,compilation error,No,Yes,
1008-3-4,Type-2,compilation error,compilation error,No,Yes,
1008-3-5,Type-2,compilation error,compilation error,No,Yes,
1008-3-6,Type-2,compilation error,compilation error,No,Yes,
1008-4-5,Type-2,compilation error,compilation error,No,Yes,
1008-4-6,Type-2,Yes,Yes,Yes,Yes,
1008-5-6,Type-2,compilation error,compilation error,No,Yes,
1019-1-2,Type-3,Yes,Yes,Yes,No,
1095-1-2,Type-2,compilation error,compilation error,No,Yes,
1134-1-2,Type-3,Yes,Yes,Yes,Yes,
1135-1-2,Type-3,Yes,Yes,Yes,No,
1138-1-4,Type-2,Yes,Yes,Yes,Yes,
1138-1-5,Type-2,Yes,Yes,Yes,Yes,
1138-2-3,Type-2,Yes,Yes,Yes,Yes,
1138-2-5,Type-2,Yes,Yes,Yes,Yes,
1161-1-3,Type-2,compilation error,compilation error,No,No,
1161-1-5,Type-2,Yes,test fail before refactoring,Yes,Yes,
1161-1-9,Type-2,Yes,test fail before refactoring,Yes,Yes,
1161-1-10,Type-2,compilation error,compilation error,No,No,
1161-3-6,Type-2,compilation error,compilation error,No,No,
1161-3-9,Type-2,compilation error,compilation error,No,Yes,
1161-5-6,Type-3,Yes,Yes,Yes,Yes,
1161-5-10,Type-3,compilation error,compilation error,No,Yes,
1161-6-9,Type-2,Yes,Yes,Yes,Yes,
1161-6-10,Type-2,compilation error,compilation error,No,No,
1172-1-4,Type-1,compilation error,compilation error,No,Yes,
1172-2-3,Type-1,Yes,Yes,Yes,Yes,
1201-1-2,Type-2,Yes,Yes,Yes,No,
1210-1-2,Type-2,compilation error,compilation error,No,No,
1210-2-3,Type-2,compilation error,compilation error,No,No,
1242-1-2,Type-3,Yes,Yes,Yes,Yes,
1249-1-2,Type-2,compilation error,compilation error,No,No,
1250-1-3,Type-2,compilation error,compilation error,No,No,
1250-1-4,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
1250-1-5,Type-2,compilation error,compilation error,No,No,
1250-1-7,Type-4,compilation error,compilation error,No,No,
1254-1-5,Type-2,Yes,Yes,Yes,No,
1254-1-6,Type-2,compilation error,compilation error,No,No,
1254-1-7,Type-2,Yes,Yes,Yes,No,
1254-2-5,Type-2,Yes,Yes,Yes,No,
1254-2-6,Type-2,Yes,Yes,Yes,No,
1254-2-7,Type-2,Yes,Yes,Yes,No,
1254-3-5,Type-2,Yes,Yes,Yes,No,
1254-3-6,Type-3,compilation error,compilation error,No,No,
1254-3-7,Type-2,Yes,Yes,Yes,No,
1254-4-5,Type-3,Yes,Yes,Yes,No,
1254-4-6,Type-2,Yes,Yes,Yes,No,
1254-4-7,Type-2,Yes,test fails,No,No,
1267-1-2,Type-1,Yes,test fails,No,Yes,
1267-1-3,Type-2,compilation error,compilation error,No,Yes,
1267-1-4,Type-2,Yes,test fails,No,Yes,
1267-1-5,Type-2,compilation error,compilation error,No,Yes,
1267-1-6,Type-3,compilation error,compilation error,No,Yes,
1270-1-3,Type-3,compilation error,compilation error,No,Yes,
1270-1-4,Type-2,Yes,Yes,Yes,Yes,
1270-2-3,Type-3,Yes,Yes,Yes,Yes,
1270-2-4,Type-3,compilation error,compilation error,No,Yes,
1295-1-3,Type-2,compilation error,compilation error,No,Yes,
1295-1-4,Type-2,Yes,Yes,Yes,Yes,
1295-2-3,Type-2,Yes,Yes,Yes,Yes,
1301-1-2,Type-3,compilation error,compilation error,No,No,
1301-1-3,Type-3,compilation error,compilation error,No,No,
1301-1-4,Type-2,Yes,Yes,Yes,No,
1301-2-3,Type-2,compilation error,compilation error,No,No,
1301-2-4,Type-2,compilation error,compilation error,No,No,
1324-1-2,Type-1,Yes,Yes,Yes,Yes,
1377-1-2,Type-2,compilation error,compilation error,No,No,
1408-1-2,Type-2,Yes,Yes,Yes,Yes,
1408-1-3,Type-3,Yes,Yes,Yes,Yes,
1435-1-2,Type-2,Yes,Yes,Yes,Yes,
1435-1-4,Type-2,Yes,Yes,Yes,Yes,
1435-2-3,Type-2,Yes,test error,No,Yes,
1435-3-4,Type-2,Yes,test error,No,Yes,
1464-1-2,Type-2,Yes,Yes,Yes,No,
1464-1-3,Type-2,Yes,Yes,Yes,No,
1464-1-4,Type-3,Yes,Yes,Yes,No,
1464-1-5,Type-2,Yes,Yes,Yes,No,
1464-1-6,Type-2,Yes,Yes,Yes,Yes,
1464-1-8,Type-2,Yes,Yes,Yes,Yes,
1464-2-3,Type-2,compilation error,compilation error,No,No,
1464-2-4,Type-2,Yes,Yes,Yes,No,
1464-2-5,Type-2,Yes,Yes,Yes,No,
1464-2-6,Type-2,compilation error,compilation error,No,Yes,
1464-2-8,Type-2,compilation error,compilation error,No,Yes,
1464-3-4,Type-2,compilation error,compilation error,No,No,
1464-3-5,Type-2,Yes,Yes,Yes,No,
1464-3-6,Type-2,compilation error,compilation error,No,Yes,
1464-3-8,Type-2,Yes,Yes,Yes,Yes,
1464-4-5,Type-2,compilation error,compilation error,No,No,
1464-4-6,Type-2,Yes,Yes,Yes,Yes,
1464-4-8,Type-2,Yes,Yes,Yes,Yes,
1464-5-6,Type-2,Yes,Yes,Yes,No,
1464-5-8,Type-2,Yes,Yes,Yes,No,
1464-6-8,Type-2,Yes,Yes,Yes,Yes,
1527-1-2,Type-2,compilation error,compilation error,No,No,
1539-1-2,Type-1,Yes,Yes,Yes,Yes,
1559-1-2,Type-3,compilation error,compilation error,No,No,
1559-1-3,Type-3,compilation error,compilation error,No,No,
1559-1-4,Type-3,compilation error,compilation error,No,No,
1575-1-2,Type-3,Yes,Yes,Yes,Yes,
1643-1-2,Type-3,Yes,Yes,Yes,No,
1727-1-3,Type-3,wrong methods extracted,wrong methods extracted,wrong methods extracted,No,
1750-1-2,Type-2,compilation error,compilation error,No,No,
1750-1-3,Type-2,Yes,Yes,Yes,Yes,
1750-1-4,Type-2,Yes,Yes,Yes,No,
1750-2-3,Type-2,Yes,Yes,Yes,No,
1750-2-4,Type-2,Yes,Yes,Yes,Yes,
1750-3-4,Type-2,compilation error,compilation error,No,No,
1767-1-2,Type-2,Yes,Yes,Yes,No,
1767-1-3,Type-2,Yes,Yes,Yes,No,
1767-2-3,Type-2,Yes,Yes,Yes,Yes,
1785-2-3,Type-2,Yes,Yes,Yes,No,
1785-2-4,Type-2,compilation error,compilation error,No,No,
1785-2-5,Type-2,compilation error,compilation error,No,No,
1786-1-3,Type-2,compilation error,compilation error,No,Yes,
1786-1-4,Type-2,compilation error,compilation error,No,Yes,
1786-2-3,Type-2,compilation error,compilation error,No,Yes,
1807-1-2,Type-2,Yes,Yes,Yes,Yes,
88-1-2,Type-3,Yes,test fails,No,No,
106-1-2,Type-3,compilation error,compilation error,No,No,
157-1-2,Type-3,compilation error,compilation error,No,No,
242-2-5,Type-3,Yes,test fails,No,No,
274-1-5,Type-3,Yes,test fails,No,No,
274-4-5,Type-3,Yes,test fails,No,No,
292-1-3,Type-3,Yes,test fails,No,No,
292-1-4,Type-3,Yes,test fails,No,No,
292-1-5,Type-3,Yes,test fails,No,No,
292-6-7,Type-3,compilation error,compilation error,No,No,
292-7-9,Type-3,Yes,test fails,No,No,
297-1-2,Type-2,compilation error,compilation error,No,No,
297-1-5,Type-3,compilation error,compilation error,No,No,
297-2-5,Type-3,Yes,Yes,Yes,No,
304-1-2,Type-3,Yes,test fails,No,No,
307-1-2,Type-3,Yes,Yes,Yes,Yes,
308-2-5,Type-3,Yes,test fails,No,No,
308-3-4,Type-3,Yes,test fails,No,No,
322-2-3,Type-3,Yes,test fails,No,No,
322-3-4,Type-3,Yes,test fails,No,No,
322-3-5,Type-3,Yes,test fails,No,No,
342-1-3,Type-3,Yes,test fails,No,No,
342-1-4,Type-3,no method call,no method call,no method call,No,
342-1-5,Type-3,Yes,Yes,Yes,No,
342-1-6,Type-3,Yes,test fails,No,No,
342-1-11,Type-3,Yes,test fails,No,No,
342-2-5,Type-3,Yes,test fails,No,No,
